key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:sponsor
errata-sponsorship-31,ER31-TINFO,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,NULL,true,errata-sponsor-1
errata-sponsorship-32,ER32-TINFO,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",true,errata-sponsor-1
errata-sponsorship-33,ER33-TINFO,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,"http://a",true,errata-sponsor-1
errata-sponsorship-34,ER34-TINFO,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2027/06/01 10:00,"ftp://a",true,errata-sponsor-1

##Casos negativos para startMoment

errata-sponsorship-23,ER23-TDATE,"Sponsorship Test","Sponsorship for testing purposes.",1999/12/31 23:59,2000/01/01 00:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-24,ER24-TDATE,"Sponsorship Test","Sponsorship for testing purposes.",2201/01/01 00:00,2201/01/01 00:01,http://example.com,true,errata-sponsor-1
errata-sponsorship-7,ER05-MIS05,"Sponsorship Test","Sponsorship for testing purposes.",,2026/06/01 10:00,http://example.com,true,errata-sponsor-1

##Casos negativos para endMoment

errata-sponsorship-25,ER25-TDATE,"Sponsorship Test","Sponsorship for testing purposes.",1999/12/31 23:58,1999/12/31 23:59,http://example.com,true,errata-sponsor-1
errata-sponsorship-26,ER26-TDATE,"Sponsorship Test","Sponsorship for testing purposes.",2201/01/01 00:00,2201/01/01 00:01,http://example.com,true,errata-sponsor-1
errata-sponsorship-27,ER05-ENDBAD,"Sponsorship Test","Sponsorship for testing purposes.",2026/12/01 10:00,2026/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-28,ER05-ENDEQ,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,2026/06/01 10:00,http://example.com,true,errata-sponsor-1
errata-sponsorship-29,ER05-ENDNUL,"Sponsorship Test","Sponsorship for testing purposes.",2026/06/01 10:00,,http://example.com,true,errata-sponsor-1

##Publicacion sin donaciones

errata-sponsorship-3,ER02-NOD02,"Sponsorship Test","Sponsorship for testing purposes.",2026/08/01 10:00,2027/01/01 10:00,http://example.com,false,errata-sponsor-1

