key,key:spokesperson,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
campaign-18,spokesperson-01,CC10-TESTDATE,"Coca Cola 2026","Campaña para la nueva cocacola con sabor cereza","2201/01/01 00:01","2201/01/01 00:02","https://example.com/cocacolacherry-2026",true

##Casos negativos para endMoment
campaign-19,spokesperson-01,CC11-TESTDATE,"Coca Cola 2026","Campaña para la nueva cocacola con sabor cereza","1999/12/31 23:58","1999/12/31 23:59","https://example.com/cocacolacherry-2026",true
campaign-20,spokesperson-01,CC12-TESTDATE,"Coca Cola 2026","Campaña para la nueva cocacola con sabor cereza","2201/01/01 00:00","2201/01/01 00:01","https://example.com/cocacolacherry-2026",true

##Casos negativos para moreInfo
campaign-21,spokesperson-01,CC01-TESTURL,"Coca Cola 2026","Campaña para la nueva cocacola con sabor cereza","2026/07/15 09:00","2028/01/15 09:00","",true
campaign-22,spokesperson-01,CC01-TESTURL,"Coca Cola 2026","Campaña para la nueva cocacola con sabor cereza","2026/07/15 09:00","2028/01/15 09:00","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X2",true
campaign-23,spokesperson-01,CC01-TESTURL,"Coca Cola 2026","Campaña para la nueva cocacola con sabor cereza","2026/07/15 09:00","2028/01/15 09:00","http://",true
campaign-24,spokesperson-01,CC01-TESTURL,"Coca Cola 2026","Campaña para la nueva cocacola con sabor cereza","2026/07/15 09:00","2028/01/15 09:00","ftp://",true
campaign-25,spokesperson-01,CC01-TESTURL,"Coca Cola 2026","Campaña para la nueva cocacola con sabor cereza","2026/07/15 09:00","2028/01/15 09:00","http://a",true
campaign-26,spokesperson-01,CC01-TESTURL,"Coca Cola 2026","Campaña para la nueva cocacola con sabor cereza","2026/07/15 09:00","2028/01/15 09:00","ftp://a",true
